,text,clean
3319,"#SONDAKİKA | Gençlik ve Spor Bakanı Osman Aşkın Bak, TFF Başkanı Mehmet Büyükekşi, Fenerbahçe Başkanı Ali Koç ve Galatasaray Başkanı Dursun Özbek arasındaki toplantı devam ediyor. (TRT Spor)",gençlik spor bakanı osman aşkın bak tff başkanı mehmet büyükekşi fenerbahçe başkanı ali koç galatasaray başkanı dursun özbek arasındaki toplantı devam ediyor trt spor
3320,Mert Hakan Yandaş’ın paylaşımı:,mert hakan yandaş paylaşımı
3321,"RENKLERİMİZ FARKLI, KANIMIZ AYNI  ❤️💛💙",renklerimiz farklı kanımız aynı
3322,İrfan Can Kahveci'nin paylaşımı,irfan kahveci paylaşımı
3323,#SONDAKİKA | Süper Kupa maçının oynanmama ihtimali daha yüksek. (TRT Spor),süper kupa maçının oynanmama ihtimali yüksek trt spor
3324,Fenerbahçe takımı da Riyad’da kaldığı otelden ayrılmadı.,fenerbahçe takımı riyad kaldığı otelden ayrılmadı
3325,"#SONDAKİKA | Galatasaray, kamp yaptığı otele geri döndü. Sarı kırmızılılar, Atatürk tişörtleriyle ısınmaya çıkmak istiyor ve kabul edilmezse maça çıkmayacaklar. (TRT Spor)",galatasaray kamp yaptığı otele geri döndü sarı kırmızılılar atatürk tişörtleriyle ısınmaya çıkmak istiyor kabul edilmezse maça çıkmayacaklar trt spor
3326,Süper Kupa öncesi son durum;  İstiklal Marşı okunacak ✅ Şehitler için saygı duruşu olacak ✅ Türk bayraklarıyla ilgili sorun yok ✅  Kulüplerden gelen ve akışta olmadığı gerekçesiyle reddedilen pankart ve tişörtlere onay çıkmadı ❌  Süper Kupa bu şartlarda oynanacak.,süper kupa öncesi durum istiklal marşı okunacak şehitler saygı duruşu olacak türk bayraklarıyla ilgili sorun yok kulüplerden gelen akışta olmadığı gerekçesiyle reddedilen pankart tişörtlere onay çıkmadı süper kupa şartlarda oynanacak
3327,"Arap Haber Sitesi Tmrrah:  “Türkler, Suudi’lerin şartlarına teslim oldu.”",arap haber sitesi tmrrah türkler suudi şartlarına teslim oldu
3328,"Galatasaraylı oyuncular, ısınmaya Atatürk fotoğraflı tişörtle çıkacak. (A Spor / Emre Kaplan)",galatasaraylı oyuncular ısınmaya atatürk fotoğraflı tişörtle çıkacak spor emre kaplan
3329,Şeyh Said'in torununa verilen Türk bayrağı paylaşma cezası kaldırıldı.,şeyh torununa verilen türk bayrağı paylaşma cezası kaldırıldı
3330,#SONDAKİKA | Toplantı sonrası Süper Kupa finalinin oynanması kararı alındı.,toplantı sonrası süper kupa finalinin oynanması kararı alındı
3331,Ankara'da 1 Ocak’tan itibaren 210 gram ekmek 8 TL'den satılacak.,ankara ocak itibaren gram ekmek satılacak
3332,Kuzey Marmara yolunda başıboş at görüldü.,kuzey marmara yolunda başıboş görüldü
3333,"Nejat İşler, Süper Kupa'da Atatürk pankartı açılmasına izin verilmemesine tepki gösterdi:  ""Neden ? Çünkü Mustafa Kemal Atatürk, Suudi Arabistan ve Arapların yedi sülalesini s*kti. Yurtta Sulh Cihanda Sulh""",nejat işler süper kupa atatürk pankartı açılmasına izin verilmemesine tepki gösterdi mustafa kemal atatürk suudi arabistan arapların sülalesini skti yurtta sulh cihanda sulh
3334,Cüneyt Özdemir:  “Bu maç Suudi Arabistan’da oynanmasın diye aylardır bağır bağır bağırdık… N’oldu? Değdi mi? Rezalete bak…”,cüneyt özdemir maç suudi arabistan oynanmasın aylardır bağır bağır bağırdık değdi rezalete bak
3335,"Beşiktaş, Eric Bailly'nin sözleşmesinin feshedildiğini açıkladı.",beşiktaş eric bailly sözleşmesinin feshedildiğini açıkladı
3336,"Acun Ilıcalı: Türkiye'nin 20 yıl öncesini biliyorum, birçok açıdan da ülkede gelişmeyi bizzat gördüm.  Yeni havaalanına denilmedik şey bırakılmadı, bugün uçak yetişmiyor.  Ben küçükken karşıya geçmek için saatlerce beklerdik, bugün alt geçit, Marmaray, köprü hepsi var.",acun ılıcalı türkiye yıl öncesini biliyorum açıdan ülkede gelişmeyi bizzat gördüm yeni havaalanına denilmedik bırakılmadı bugün uçak yetişmiyor küçükken karşıya geçmek saatlerce beklerdik bugün alt geçit marmaray köprü
3337,"Süper Kupa finaline saatler kala Dursun Özbek ve Ali Koç, TFF Başkanı Büyükekşi ile görüşüyor.",süper kupa finaline saatler kala dursun özbek ali koç tff başkanı büyükekşi görüşüyor
3338,🟡🔴Galatasaray: Karşılaşmaya son 3 saat!⏳,galatasaray karşılaşmaya saat
3339,"#SonDakika | Ali Koç, TFF'nin konakladığı otele geldi:   Neler olacağını bilmiyoruz. Çağırdılar, biz de geldik. (TRT Spor)",ali koç tff konakladığı otele neler olacağını bilmiyoruz çağırdılar geldik trt spor
3340,Süper Kupa finalinin oynanacağı Kral Suud Üniversitesi Stadyumu.,süper kupa finalinin oynanacağı kral suud üniversitesi stadyumu
3341,"Fatih’te eski eşini vurduktan sonra kaçan tekerlekli sandalyeli Mehmet Gülerli, polis ekipleri tarafından yakalanmıştı.   Şahsın eşini silahla vurduğu ana ait cep telefonu görüntüleri ortaya çıktı.",fatih eski eşini vurduktan kaçan tekerlekli sandalyeli mehmet gülerli polis ekipleri tarafından yakalanmıştı şahsın eşini silahla vurduğu ana ait cep telefonu görüntüleri ortaya çıktı
3342,"Mustafa Sarıgül: Bu dünyada benim bayrağıma, toprağıma, Atatürk’üme, İstiklal Marşı’ma karışacak insan anasının karnından doğmadı.",mustafa sarıgül dünyada bayrağıma toprağıma atatürk istiklal marşı karışacak insan anasının karnından doğmadı
3343,"Ulaştırma ve Altyapı Bakan Yardımcısı Ömer Fatih Sayan, iOS cihazlarda tespit edilen güvenlik açıkları konusunda vatandaşları uyardı:  Açıklarla ilgili olarak Apple hakkında soruşturma başlatıldığını belirterek, bu cihazları kullanan vatandaşları, iMessage ve FaceTime ayarlarını gözden geçirmeleri, gerekirse geçici olarak devre dışı bırakmaları konusunda uyardı.  Açıkların, cihazların tam kontrolünün ele geçirilmesi ve kullanıcı verilerinin çalınması riskini barındırdığı öğrenildi.",ulaştırma altyapı bakan yardımcısı ömer fatih sayan ios cihazlarda tespit edilen güvenlik açıkları konusunda vatandaşları uyardı açıklarla ilgili apple hakkında soruşturma başlatıldığını belirterek cihazları kullanan vatandaşları imessage facetime ayarlarını gözden geçirmeleri gerekirse geçici devre dışı bırakmaları konusunda uyardı açıkların cihazların tam kontrolünün ele geçirilmesi kullanıcı verilerinin çalınması riskini barındırdığı öğrenildi
3344,Ahmet Çakar: Çıkmayın lan maça…,ahmet çakar çıkmayın lan maça
3345,"Yalnızca Fenerbahçe'nin “Yurtta sulh, cihanda sulh!” pankartına değil Galatasaray'ın “Ne mutlu Türküm diyene!” pankartına da izin verilmediği öğrenildi. (Yağız Sabuncuoğlu)",yalnızca fenerbahçe yurtta sulh cihanda sulh pankartına galatasaray mutlu türküm diyene pankartına izin verilmediği öğrenildi yağız sabuncuoğlu
3346,Barbaros Şansal: O maça çıkarlarsa geri gelmeleri kısmet olmasın.,barbaros şansal maça çıkarlarsa geri gelmeleri kısmet olmasın
3347,#Soru   Sizce takımlarımız maça çıkmalı mı?,sizce takımlarımız maça çıkmalı
3348,#SonDakika | Onur Tuğrul: Galatasaray Başkanı Dursun Özbek’e “Maçla ilgili sorun çözüldü mü?” diye sordum. “Birazdan göreceğiz” dedi.     Başkan şimdi TFF’nin konakladığı otele gelip yetkililerle toplantıya girdi.,onur tuğrul galatasaray başkanı dursun özbek maçla ilgili sorun çözüldü sordum birazdan göreceğiz dedi başkan tff konakladığı otele gelip yetkililerle toplantıya girdi
3349,"Independent Türkçe Genel Yayın Yönetmeni Nevzat Çiçek:   ""Galatasaray-Fenerbahçe maçında İstiklal Marşı okunmayacak"" haberleri kimden, ne maksatla çıktı bilmiyorum ama dün gece bunun statta provası bile yapıldı ve İstiklal Marşı okundu.  Görüştüğümüz Suudi Arabistan yetkilileri de böyle bir krizin olmadığını ifade ettiler.   Kriz, Fenerbahçe’nin açmak istediği pankarttan dolayı çıkmış.",ındependent türkçe genel yayın yönetmeni nevzat çiçek galatasarayfenerbahçe maçında istiklal marşı okunmayacak haberleri kimden maksatla çıktı bilmiyorum dün gece statta provası yapıldı istiklal marşı okundu görüştüğümüz suudi arabistan yetkilileri krizin olmadığını ifade ettiler kriz fenerbahçe açmak istediği pankarttan çıkmış
3350,Fenerbahçe Genel Sekreteri Burak Kızılhan:  Maça çıkmak istiyoruz ama Atatürk tişörtü ve ‘Yurtta Sulh Cihanda Sulh’ pankartından taviz vermiyoruz! (Yağız Sabuncuoğlu),fenerbahçe genel sekreteri burak kızılhan maça çıkmak istiyoruz atatürk tişörtü yurtta sulh cihanda sulh pankartından taviz vermiyoruz yağız sabuncuoğlu
3351,"CHP Genel Başkanı Özgür Özel, Süper Kupa kriziyle ilgili açıklama yaptı:  Yetkilileri uyarıyoruz, bu soytarılığa derhal son verin!",chp genel başkanı özgür özel süper kupa kriziyle ilgili açıklama yaptı yetkilileri uyarıyoruz soytarılığa derhal verin
3352,"Ece Üner: İstiklal Marşı’mızdan, Atatürk’ten, bayrağımızdan, Cumhuriyet’imizden ödün verilirse, o maçta ayaklar altına alınan top değil Türkiye Cumhuriyeti olur!",ece üner istiklal marşı atatürk bayrağımızdan cumhuriyet ödün verilirse maçta ayaklar altına alınan türkiye cumhuriyeti olur
3353,Ali Koç resmi olarak maça çıkmama yönünde bir karar almadı.   Suudi yetkililer ile görüşmeler sürüyor. (Sporx),ali koç resmi maça çıkmama yönünde karar almadı suudi yetkililer görüşmeler sürüyor sporx
3354,"Onur Tuğrul: Fenerbahçe ve Galatasaray’ın şu an en büyük sıkıntıları Atatürk’ün sözlerini içeren pankartlara ve Atatürk tişörtlerine izin verilmemesi.     TFF tarafı “geç bildirildi, akışta yoktu” diyor.     Kulüpler ligde böyle durumlarda sorun yaşamadıklarını hatırlatıyor. Akışın bozulmayacağını söylüyorlar.    Ayrıca İstiklal Marşı’nın yanı sıra Arabistan Marşı’nın da okunması da kulüpler tarafında problem olarak görünüyor.",onur tuğrul fenerbahçe galatasaray büyük sıkıntıları atatürk sözlerini içeren pankartlara atatürk tişörtlerine izin verilmemesi tff tarafı geç bildirildi akışta yoktu diyor kulüpler ligde durumlarda sorun yaşamadıklarını hatırlatıyor akışın bozulmayacağını söylüyorlar ayrıca istiklal marşı yanı sıra arabistan marşı okunması kulüpler tarafında problem görünüyor
3355,"#SONDAKİKA | Uğur Dündar: Fenerbahçe sahaya, Atatürk tişörtü ve 'Yurtta Sulh Cihanda Sulh' pankartıyla çıkacaktı. İzin vermediler.   Ali Koç ve yönetici arkadaşlarımız da o halde biz de sahaya çıkmayız dedi.",uğur dündar fenerbahçe sahaya atatürk tişörtü sulh cihanda sulh pankartıyla çıkacaktı izin vermediler ali koç yönetici arkadaşlarımız halde sahaya çıkmayız dedi
3356,"Galatasaray: Fenerbahçe karşılaşmasına, Cumhuriyetimizin 100. Yılı'na özel hazırlanan formamızla çıkacağız! 💪",galatasaray fenerbahçe karşılaşmasına cumhuriyetimizin yılı özel hazırlanan formamızla çıkacağız
3357,"Yağız Sabuncuoğlu: ‘Yurtta Sulh, Cihanda Sulh' pankartı, Atatürk posteri ve Atatürk tişörtü ile maça çıkma isteği konusunda TFF ve Suudi yetkililer görüşüyor.",yağız sabuncuoğlu yurtta sulh cihanda sulh pankartı atatürk posteri atatürk tişörtü maça çıkma isteği konusunda tff suudi yetkililer görüşüyor
3358,"#SONDAKİKA | TFF:  Süper Kupa Maçı, Türk Bayrağımız huzurunda, 100. Yıl kutlama etkinlikleriyle, şehitlerimiz için saygı duruşuyla ve sanatçı Norm Ender’in okuyacağı İstiklal Marşımız ile başlayacaktır.",tff süper kupa maçı türk bayrağımız huzurunda yıl kutlama etkinlikleriyle şehitlerimiz saygı duruşuyla sanatçı norm ender okuyacağı istiklal marşımız başlayacaktır
3359,Norm Ender: Buraya İstiklal Marşımız ve 'Parla'yı söylemek için geldim.   Birazdan TFF Başkanı ile bir toplantı yapacağız. Henüz bana bildirilen bir değişiklik yok. (Candaş Tolga Işık),norm ender buraya istiklal marşımız söylemek geldim birazdan tff başkanı toplantı yapacağız bildirilen değişiklik yok candaş tolga ışık
3360,Galatasaray tribün grubu ultrAslan açıklama yaptı:  Süper Kupa Finalinde İstiklal Marşı'mızın okunmayacağı yönünde sosyal medyada yayılan bilgiler gerçeği yansıtmamaktadır.     Süper Kupa maçı öncesi İstiklal Marşı okunacaktır. 🇹🇷,galatasaray tribün grubu ultraslan açıklama yaptı süper kupa finalinde istiklal marşı okunmayacağı yönünde sosyal medyada yayılan bilgiler gerçeği yansıtmamaktadır süper kupa maçı öncesi istiklal marşı okunacaktır
3361,NE MUTLU TÜRKÜM DİYENE 🇹🇷,mutlu türküm diyene
3362,Hamit Altıntop: İstiklal Marşı ile ilgili taahhütname var. Suudiler bu taahhütnameye uymak zorunda. Şu anda konuyla ilgili toplantılar devam ediyor. (Yağız Sabuncuoğlu),hamit altıntop istiklal marşı ilgili taahhütname suudiler taahhütnameye uymak zorunda anda konuyla ilgili toplantılar devam ediyor yağız sabuncuoğlu
3363,"Muharrem İnce: Bu iddialar doğru ise bir milim dahi geri adım atmayın, yanınızdayız!",muharrem ince iddialar doğru milim dahi geri adım atmayın yanınızdayız
3364,#SonDakika | 1 Ocak 2024'ten itibaren TL dönüşümlü yeni KKM hesabı açılamayacak.   Mevcut TL dönüşümlü KKM hesapları ise vade sonunda yenilenmeyecek.,ocak itibaren dönüşümlü yeni kkm hesabı açılamayacak mevcut dönüşümlü kkm hesapları vade sonunda yenilenmeyecek
3365,"Süper Kupa öncesinde Arap yetkililer Riyad’da dört şeye izin vermedi.  • Atatürk posteri • Yurtta Sulh, Cihanda Sulh pankartı • Atatürk tişörtü • İstiklal Marşı  Araplar kararından geri dönmezse iki takım da maça çıkmayacak. (Yağız Sabuncuoğlu)",süper kupa öncesinde arap yetkililer riyad izin vermedi atatürk posteri yurtta sulh cihanda sulh pankartı atatürk tişörtü istiklal marşı araplar kararından geri dönmezse takım maça çıkmayacak yağız sabuncuoğlu
3366,"Ali Koç, Suudi Arabistan'da oynanacak finale Atatürk'ün ""Yurtta sulh, cihanda sulh"" sözünü taşıyan pankartıyla çıkmak istediklerini ama kabul görmediğini söyledi.  Suudi Arabistan yetkilileri, Atatürk'ün sözünü taşıyan pankartın yanı sıra tişörtlere de izin vermiyor. İki takım ısınmaya ve maç önü seronomisine Atatürk tişörtleriyle çıkmak istedi ancak Suudi yetkilileri bunu kabul etmedi.",ali koç suudi arabistan oynanacak finale atatürk yurtta sulh cihanda sulh sözünü taşıyan pankartıyla çıkmak istediklerini kabul görmediğini söyledi suudi arabistan yetkilileri atatürk sözünü taşıyan pankartın yanı sıra tişörtlere izin vermiyor takım ısınmaya maç önü seronomisine atatürk tişörtleriyle çıkmak istedi suudi yetkilileri kabul etmedi
3367,Galatasaray Genel Sekreteri Eray Yazgan:  İstiklal Marşı'na izin verilmezse sahaya çıkmıyoruz. (Skorer),galatasaray genel sekreteri eray yazgan istiklal marşı izin verilmezse sahaya çıkmıyoruz skorer
3368,Kaynak:,kaynak
3369,"Muharrem İnce: Amerikalılar PKK'lı teröristleri eğitiyor. Siz de gidip İsveç'in NATO üyeliğine ""Evet"" oyu veriyorsunuz. Yazıklar olsun!",muharrem ince amerikalılar pkk teröristleri eğitiyor gidip isveç nato üyeliğine evet oyu veriyorsunuz yazıklar olsun
3370,"Son günlerde dolandırıcıların, 'kardeşime eş arıyorum' temalı yeni bir tekniği ortaya çıktı:  Dolandırıcılar, ağabey veya kız kardeşlerine arkadaş veya eş aradıklarını belirterek mesaj atıyor. Sahte mesajların ardından bir süre sohbet eden dolandırıcılar, kişinin güvenini kazanıp konuşmayı özel konulara getirerek mağdurun fotoğraflarını ele geçiriyor.   Bu görselleri yapay zekayı da kullanarak değiştirdikten sonra kişilerden şantajla para istiyor. Mağdurlar ailesine ve yakın çevresine mahcup olmamak için şikayetçi olamıyor ve dolandırıcıların ağından kurtulamıyor.",günlerde dolandırıcıların eş arıyorum temalı yeni tekniği ortaya çıktı dolandırıcılar ağabey kız kardeşlerine arkadaş eş aradıklarını belirterek mesaj atıyor sahte mesajların ardından süre sohbet eden dolandırıcılar kişinin güvenini kazanıp konuşmayı özel konulara getirerek mağdurun fotoğraflarını ele geçiriyor görselleri yapay zekayı kullanarak değiştirdikten kişilerden şantajla para istiyor mağdurlar ailesine yakın çevresine mahcup olmamak şikayetçi olamıyor dolandırıcıların ağından kurtulamıyor
3371,Adana'da çocuğunu kemerle döven baba serbest bırakıldı.,adana çocuğunu kemerle döven baba serbest bırakıldı
3372,"Erzurum'da 4. kattan düşmesi sonucu yürüme yetisini kaybeden Dino isimli kedi, doktorların 4 saatlik mikrocerrahi müdahalesiyle felç kalmaktan kurtuldu.",erzurum kattan düşmesi sonucu yürüme yetisini kaybeden dino isimli kedi doktorların saatlik mikrocerrahi müdahalesiyle felç kalmaktan kurtuldu
3373,"Fatih Terim, Panathinaikos'a resmi imzayı attı.",fatih terim panathinaikos resmi imzayı attı
3374,Marketlerin alışveriş poşeti için devlete ödeyeceği tutar 60 kuruşa yükseldi.   Müşteriler ise poşet başına 25 kuruş ödemeye devam edecek.,marketlerin alışveriş poşeti devlete ödeyeceği tutar kuruşa yükseldi müşteriler poşet başına kuruş ödemeye devam edecek
3375,Ekrem İmamoğlu: 2023'te Ay'a gideceğiz dediler.   Deniz Zeyrek: 3 günümüz var daha.   Ekrem İmamoğlu: 3 günde sert iniş yapar.,ekrem imamoğlu gideceğiz dediler deniz zeyrek günümüz ekrem imamoğlu günde sert iniş yapar
3376,"Galatasaray - Fenerbahçe Süper Kupa maçı bugün saat 20.45'te oynanacak:  ⭕️Fenerbahçe 114 yıllık rekabetin ilk 7 maçında gol atamadı, ilk galibiyetini 5 yıl sonra aldı.  ⭕️Maçların en az seyircili olanını 14, en fazlasını ise 70 bin 125 kişi izledi.  ⭕️Rekabetin gol kralı 27 golle Fenerbahçeli Zeki Rıza Sporel.  ⭕️Galatasaray 7-0, Fenerbahçe 6-0 ile en farklı skorları aldı.  ⭕️Galatasaray üst üste 18, Fenerbahçe art arda 11 maçta galip gelemedi.",galatasaray fenerbahçe süper kupa maçı bugün saat oynanacak fenerbahçe yıllık rekabetin maçında gol atamadı galibiyetini yıl aldı maçların seyircili olanını fazlasını kişi izledi rekabetin gol kralı golle fenerbahçeli zeki rıza sporel galatasaray fenerbahçe farklı skorları aldı galatasaray üst üste fenerbahçe art arda maçta galip gelemedi
3377,"ABD'deki bir hayvan barınağı, yaklaşık 50 yıldır ilk kez tüm evcil hayvanlarının sahiplenilmesini kutladı.",abd hayvan barınağı yaklaşık yıldır evcil hayvanlarının sahiplenilmesini kutladı
3378,"Kadın olduğu sanılan Çinli bir fenomenin, filtreleri açmayı unutunca erkek olduğu ortaya çıktı.",kadın olduğu sanılan çinli fenomenin filtreleri açmayı unutunca erkek olduğu ortaya çıktı
3379,"Google, 'gizli sekme' açılsa bile kullanıcıların verilerini toplamaya ve kaydetmeye devam ettiği gerekçesiyle açılan davada, 5 milyar dolar tazminat ödemeyi kabul etti.",google sekme açılsa kullanıcıların verilerini toplamaya kaydetmeye devam ettiği gerekçesiyle açılan davada milyar dolar tazminat ödemeyi kabul etti
3380,Dünya nüfusu 1 Ocak 2024'te 8 milyara ulaşacak. (ABD Nüfus Sayımı Bürosu),dünya nüfusu ocak milyara ulaşacak abd nüfus sayımı bürosu
3381,"Berat Albayrak, istifasından 3 yıl sonra ilk kez kamera karşısına geçti.",berat albayrak istifasından yıl kamera karşısına geçti
3382,Ocak ayında doğal gaza zam gelmeyecek.,ocak ayında doğal gaza zam gelmeyecek
3383,"#SonDakika | Türkiye'deki sinagog ve kiliselerle Irak Büyükelçiliği'ne saldırı hazırlığındaki 3'ü terör örgütü DEAŞ'ın sözde sorumlusu olan 32 şüpheli, MİT ve Emniyet'in ortak operasyonuyla yakalandı.",türkiye sinagog kiliselerle ırak büyükelçiliği saldırı hazırlığındaki terör örgütü deaş sözde sorumlusu şüpheli mit emniyet ortak operasyonuyla yakalandı
3384,"Ferrari polis aracımız, bugünkü görev yeri olan Sultanahmet Meydanı'nda.",ferrari polis aracımız bugünkü görev yeri sultanahmet meydanı
3385,2023'te 112 Acil Çağrı Merkezi'ni boş yere meşgul eden bazı çağrılar:  ⭕️Mezarlıktan arayıp etrafında bir sürü ölü olduğunu söyleyen vatandaş  ⭕️112'den yemek siparişi vermeye çalışanlar  ⭕️Sakatlanan futbolcuların sağlık durumunu öğrenmek için arayanlar  ⭕️Ara verilen Süper Lig maçlarının ne zaman devam edeceğini merak edip arayan bir vatandaş  ⭕️Rusya-Ukrayna savaşına katılmak için arayıp Genel Kurmay Başkanı ile görüşmek isteten bir vatandaş,acil çağrı merkezi boş yere meşgul eden çağrılar mezarlıktan arayıp etrafında sürü ölü olduğunu söyleyen vatandaş yemek siparişi vermeye çalışanlar sakatlanan futbolcuların sağlık durumunu öğrenmek arayanlar ara verilen süper lig maçlarının zaman devam edeceğini merak edip arayan vatandaş rusyaukrayna savaşına katılmak arayıp genel kurmay başkanı görüşmek isteten vatandaş
3386,"Kayseri'de, kendini eve kilitleyip eşyaları ateşe veren bir şahıs, ailesinin 'para' vaadiyle ikna edildi.   Gözaltına alınan genç, ailesinin para vermemesi üzerine tepki gösterdi.",kayseri eve kilitleyip eşyaları ateşe veren şahıs ailesinin vaadiyle ikna edildi gözaltına alınan genç ailesinin para vermemesi üzerine tepki gösterdi
3387,Bakan Ömer Bolat: Bu yıl 2022'ye göre yüzde 93 değer artışıyla 23 milyar 74 milyon liralık uyuşturucu madde ve kaçak ticari eşya yakalamasına imza attık:  ⭕️Yaklaşık 12 ton uyuşturucu ⭕️1 milyon 200 bin litre akaryakıt ⭕️1 milyar 368 milyon lira değerinde 1302 adet araç ⭕️3 milyar 210 milyon lira değerinde elektronik eşya ⭕️5 bin tonu aşan yasa dışı gıda ⭕️8 milyon adedi aşan elektronik sigara cihazı ⭕️446 milyon adet tütün ve tütün mamulü,bakan ömer bolat yıl göre yüzde değer artışıyla milyar milyon liralık uyuşturucu madde kaçak ticari eşya yakalamasına imza attık yaklaşık ton uyuşturucu milyon litre akaryakıt milyar milyon lira değerinde adet araç milyar milyon lira değerinde elektronik eşya tonu aşan yasa dışı gıda milyon adedi aşan elektronik sigara cihazı milyon adet tütün tütün mamulü
3388,"Manisa'nın Alaşehir ilçesinde bir esnaf, ihtiyaç sahiplerinin de rahatça alabilmesi için ekmek fiyatlarını 5 TL'ye indirdi.",manisa alaşehir ilçesinde esnaf ihtiyaç sahiplerinin rahatça alabilmesi ekmek fiyatlarını indirdi
3389,"2023'ün son Cuma hutbesi yayınlandı:  Dinimizde ve kültürümüzde yer almayan yılbaşı eğlenceleri, Noel baba figür ve kıyafetleri, çam ağacı süslemeleri gibi yanlış tutum ve davranışlardan uzak duralım.    Kötülüklerin anası olan alkol, ocakları söndüren kumar, umutları tüketen şans oyunları ve piyango gibi haramlarla sağlığımızı, zamanımızı ve kazancımızı heba etmeyelim.",cuma hutbesi yayınlandı dinimizde kültürümüzde yer almayan yılbaşı eğlenceleri noel baba figür kıyafetleri çam ağacı süslemeleri yanlış tutum davranışlardan uzak duralım kötülüklerin anası alkol ocakları söndüren kumar umutları tüketen şans oyunları piyango haramlarla sağlığımızı zamanımızı kazancımızı heba etmeyelim
3390,"İstanbul'da görevli bir polis memuru:   Kimse bu araçlara binmek istemiyor, hasar oluşursa memur ödemek zorunda kalıyor. (T24)",istanbul görevli polis memuru kimse araçlara binmek istemiyor hasar oluşursa memur ödemek zorunda kalıyor
3391,"Merkez Bankası, 2024 için 'yol haritası'nı açıkladı:  🔺Sıkılaşan finansal koşulların dar gelirli kesime etkisini azaltmaya yönelik tedbirler alınabilecek.  🔺Piyasa koşulları elverdiği müddetçe rezerv biriktirilmesi yönündeki stratejiye devam edilecek.  🔺Sadeleşme 2024’te de devam edecek.   🔺TL mevduatın payının yüzde 50’ye yükselmesi hedeflenecek.",merkez bankası haritası açıkladı sıkılaşan finansal koşulların dar gelirli kesime etkisini azaltmaya yönelik tedbirler alınabilecek piyasa koşulları elverdiği müddetçe rezerv biriktirilmesi yönündeki stratejiye devam edilecek sadeleşme devam edecek mevduatın payının yüzde yükselmesi hedeflenecek
3392,Cybertruck ilk kazasını yaptı.  Tesla Cybertruck ve Toyota Corolla kafa kafaya çarpıştı.,cybertruck kazasını yaptı tesla cybertruck toyota corolla kafa kafaya çarpıştı
3393,TÜRK-İŞ:  “İşveren temsilcileri 16.300₺ teklif etti. Bizim talebimiz 18.000₺‘ydi. Cumhurbaşkanı Erdoğan 17 bin lira olmasını istedi. İşveren kabul etti. Cumhurbaşkanı devreye girmese belki 700 liralık zammı almamız mümkün olmayabilirdi“,türkiş işveren temsilcileri teklif etti talebimiz ydi cumhurbaşkanı erdoğan lira olmasını istedi işveren kabul etti cumhurbaşkanı devreye girmese liralık zammı almamız mümkün olmayabilirdi
3394,"MİT, Suriye'de askeri birliklere saldırıları planlayan, terör örgütü PKK/YPG'nin sözde Tabka sorumlularından Ömer Abdullah el Dahham'ı etkisiz hale getirdi.",mit suriye askeri birliklere saldırıları planlayan terör örgütü pkkypg sözde tabka sorumlularından ömer abdullah dahham etkisiz hale getirdi
3395,Resmi Gazete'de yayınlanan ve ÖTV'nin yapısını değiştiren düzenlemeyle birlikte yeni yılda sigara fiyatlarına 2-5 TL arasında zamların gelmesi bekleniyor.,resmi gazete yayınlanan ötv yapısını değiştiren düzenlemeyle birlikte yeni yılda sigara fiyatlarına arasında zamların gelmesi bekleniyor
3396,"Nuri Şahin, gelecek sezondan itibaren Dortmund'un yeni teknik direktörü olacak. (Spor Arena)",nuri şahin gelecek sezondan itibaren dortmund yeni teknik direktörü olacak spor arena
3397,"Ülkü Ocakları Eski Genel Başkanı Sinan Ateş soruşturmasında yeni skandallar ortaya çıktı.   Tetikçiyi kaçırdığı öne sürülen Demirbaş'ın sildiği mesajlar kurtarıldı.   ""Ekibi kurduk, kafasına sıkacaklar"" mesajları ortaya çıkarken, Ateş'in 9 ay boyunca takip edildiği gün yüzüne çıktı.",ülkü ocakları eski genel başkanı sinan ateş soruşturmasında yeni skandallar ortaya çıktı tetikçiyi kaçırdığı öne sürülen demirbaş sildiği mesajlar kurtarıldı ekibi kurduk kafasına sıkacaklar mesajları ortaya çıkarken ateş boyunca takip edildiği gün yüzüne çıktı
3398,"Gençlik ve Spor Bakanlığı, Seyrantepe Ali Sami Yen Spor Kompleksi’nde oynatılan tüm müsabakalarda bilet ve loca gelirlerinden yüzde 7 pay alacağının ödenmesi için Galatasaray’a alacak davası açtı.",gençlik spor bakanlığı seyrantepe ali sami yen spor kompleksi oynatılan müsabakalarda bilet loca gelirlerinden yüzde pay alacağının ödenmesi galatasaray alacak davası açtı
3399,"Aile Bakanı Göktaş: ""Bazı dizilerin aile yapımızı olumsuz etkilediği yönünde şikayetler alıyoruz. Yakın dönemde dizi yapımcılarıyla bir araya geleceğiz.   Akademisyenlerin de katılacağı toplantılarda hassasiyetlerimizi ele alacağız.""",aile bakanı göktaş dizilerin aile yapımızı olumsuz etkilediği yönünde şikayetler alıyoruz yakın dönemde dizi yapımcılarıyla araya geleceğiz akademisyenlerin katılacağı toplantılarda hassasiyetlerimizi ele alacağız
